epoch,train_loss,train_perplexity,valid_loss,valid_perplexity,learning_rate,train_time_seconds,valid_time_seconds,epoch_time_seconds,elapsed_time_seconds,eta_seconds,best_valid_loss,best_checkpoint_saved
1,5.004572,149.0932,4.437731,84.5828,0.0003,,,,,,,
2,4.158854,63.9981,3.841897,46.6138,0.0003,,,,,,,
3,3.797375,44.584,3.559518,35.1462,0.0003,,,,,,,
4,3.522939,33.8839,3.394554,29.8014,0.0003,,,,,,,
5,3.378328,29.3217,3.299649,27.1031,0.0003,,,,,,,
6,3.322813,27.7383,3.207472,24.7165,0.0003,,,,,,,
7,3.236678,25.4491,3.136471,23.0225,0.0003,,,,,,,
8,3.164954,23.6876,3.089663,21.9697,0.0003,,,,,,,
9,3.107233,22.3591,3.048575,21.0853,0.0003,,,,,,,
10,3.058944,21.305,3.011331,20.3144,0.0003,,,,,,,
11,3.016709,20.424,2.989829,19.8823,0.0003,,,,,,,
12,2.961651,19.3299,2.984819,19.7829,0.0003,1325.01,20.8,1345.82,1345.83,24224.92,2.984819,True
13,2.801297,16.466,2.977384,19.6364,0.0003,1308.06,21.67,1329.73,1329.73,22605.47,2.977384,True
14,2.921774,18.5742,2.944479,19.0008,0.0003,1307.15,20.44,1327.58,2657.66,21261.25,2.944479,True
15,2.89922,18.16,2.935886,18.8382,0.0003,1229.63,19.54,1249.17,3907.17,19535.87,2.935886,True
16,2.875667,17.7373,2.924787,18.6303,0.0003,4233.55,19.78,4253.33,8160.83,28562.89,2.924787,True
17,2.854284,17.362,2.910972,18.3746,0.0003,2224.2,22.69,2246.89,10408.07,27060.98,2.910972,True
18,2.83308,16.9977,2.892173,18.0325,0.0003,1350.45,22.86,1373.31,11781.73,23563.46,2.892173,True
19,2.814097,16.6781,2.877733,17.7739,0.0003,1393.12,21.84,1414.96,13197.02,20738.17,2.877733,True
20,2.79413,16.3484,2.875445,17.7333,0.0003,1322.86,20.11,1342.97,14540.34,18175.43,2.875445,True
21,2.805323,16.5324,2.851391,17.3119,0.0003,1470.89,21.02,1491.91,16032.58,16032.58,2.851391,True
22,2.790114,16.2829,2.861457,17.487,0.0003,1338.6,23.25,1361.85,17394.73,13915.78,2.851391,False
23,2.77835,16.0924,2.842424,17.1573,0.0003,1363.7,22.58,1386.29,18781.19,11951.67,2.842424,True
24,2.767963,15.9262,2.836689,17.0592,0.0003,1339.43,19.4,1358.82,20140.37,10070.18,2.836689,True
25,2.715323,15.1095,2.836884,17.0625,0.0003,1401.19,22.71,1423.9,1423.9,7119.52,2.836689,False
26,2.572458,13.098,2.865869,17.5643,0.0003,1376.71,22.12,1398.83,1398.85,5595.39,2.836689,False
27,2.73159,15.3573,2.841014,17.1331,0.00015,1318.55,22.89,1341.45,2740.47,4110.71,2.836689,False
28,2.578069,13.1717,2.738172,15.4587,0.00015,1343.36,21.42,1364.77,4105.42,2736.95,2.738172,True
29,2.378899,10.793,2.761245,15.8195,0.00015,1389.46,22.37,1411.83,1411.84,1411.84,2.738172,False
30,2.408863,11.1213,2.757278,15.7569,0.00015,1345.54,22.64,1368.18,2780.19,0.0,2.738172,False
